clave_estado,anio_poblacion,poblacion
01,1910,120511.0
01,1921,107581.0
01,1930,132900.0
01,1940,161693.0
01,1950,188075.0
01,1960,243363.0
01,1970,338142.0
01,1980,519439.0
01,1990,719659.0
01,1995,862720.0
01,2000,944285.0
01,2005,1065416.0
01,2010,1184996.0
01,2015,1316032.0
01,2020,1425607.0
02,1910,52272.0
02,1921,23537.0
02,1930,48327.0
02,1940,78907.0
02,1950,226965.0
02,1960,520165.0
02,1970,870421.0
02,1980,1177886.0
02,1990,1660855.0
02,1995,2112140.0
02,2000,2487367.0
02,2005,2844469.0
02,2010,3155070.0
02,2015,3348898.0
02,2020,3769020.0
03,1921,39294.0
03,1930,47089.0
03,1940,51471.0
03,1950,60864.0
03,1960,81594.0
03,1970,128019.0
03,1980,215139.0
03,1990,317764.0
03,1995,375494.0
03,2000,424041.0
03,2005,512170.0
03,2010,637026.0
03,2015,718384.0
03,2020,798447.0
04,1910,86661.0
04,1921,76419.0
04,1930,84630.0
04,1940,90460.0
04,1950,122098.0
04,1960,168219.0
04,1970,251556.0
04,1980,420553.0
04,1990,535185.0
04,1995,642516.0
04,2000,690689.0
04,2005,754730.0
04,2010,822441.0
04,2015,902250.0
04,2020,928363.0
05,1910,362092.0
05,1921,393480.0
05,1930,436425.0
05,1940,550717.0
05,1950,720619.0
05,1960,907734.0
05,1970,1114956.0
05,1980,1557265.0
05,1990,1972340.0
05,1995,2173775.0
05,2000,2298070.0
05,2005,2495200.0
05,2010,2748391.0
05,2015,2961708.0
05,2020,3146771.0
06,1910,77704.0
06,1921,91749.0
06,1930,61923.0
06,1940,78806.0
06,1950,112321.0
06,1960,164450.0
06,1970,241153.0
06,1980,346293.0
06,1990,428510.0
06,1995,488028.0
06,2000,542627.0
06,2005,567996.0
06,2010,650555.0
06,2015,715095.0
06,2020,731391.0
07,1910,438843.0
07,1921,421744.0
07,1930,529983.0
07,1940,679885.0
07,1950,907026.0
07,1960,1210870.0
07,1970,1569053.0
07,1980,2084717.0
07,1990,3210496.0
07,1995,3584786.0
07,2000,3920892.0
07,2005,4293459.0
07,2010,4796580.0
07,2015,5228711.0
07,2020,5543828.0
08,1910,405707.0
08,1921,401622.0
08,1930,491792.0
08,1940,623944.0
08,1950,846414.0
08,1960,1226793.0
08,1970,1612525.0
08,1980,2005477.0
08,1990,2441873.0
08,1995,2793537.0
08,2000,3052907.0
08,2005,3241444.0
08,2010,3406465.0
08,2015,3569479.0
08,2020,3741869.0
09,1910,720753.0
09,1921,906063.0
09,1930,1229576.0
09,1940,1757530.0
09,1950,3050442.0
09,1960,4870876.0
09,1970,6874165.0
09,1980,8831079.0
09,1990,8235744.0
09,1995,8489007.0
09,2000,8605239.0
09,2005,8720916.0
09,2010,8851080.0
09,2015,8985339.0
09,2020,9209944.0
10,1910,483175.0
10,1921,336766.0
10,1930,404364.0
10,1940,483829.0
10,1950,629874.0
10,1960,760836.0
10,1970,939208.0
10,1980,1182320.0
10,1990,1349378.0
10,1995,1431748.0
10,2000,1448661.0
10,2005,1509117.0
10,2010,1632934.0
10,2015,1759848.0
10,2020,1832650.0
11,1910,1081651.0
11,1921,860364.0
11,1930,987801.0
11,1940,1046490.0
11,1950,1328712.0
11,1960,1735490.0
11,1970,2270370.0
11,1980,3006110.0
11,1990,3982593.0
11,1995,4406568.0
11,2000,4663032.0
11,2005,4893812.0
11,2010,5486372.0
11,2015,5864777.0
11,2020,6166934.0
12,1910,594278.0
12,1921,566836.0
12,1930,641690.0
12,1940,732910.0
12,1950,919386.0
12,1960,1186716.0
12,1970,1597360.0
12,1980,2109513.0
12,1990,2620637.0
12,1995,2916567.0
12,2000,3079649.0
12,2005,3115202.0
12,2010,3388768.0
12,2015,3542204.0
12,2020,3540685.0
13,1910,646551.0
13,1921,622241.0
13,1930,677772.0
13,1940,771818.0
13,1950,850394.0
13,1960,994598.0
13,1970,1193845.0
13,1980,1547493.0
13,1990,1888366.0
13,1995,2112473.0
13,2000,2235591.0
13,2005,2345514.0
13,2010,2665018.0
13,2015,2862970.0
13,2020,3082841.0
14,1910,1208855.0
14,1921,1191957.0
14,1930,1255346.0
14,1940,1418310.0
14,1950,1746777.0
14,1960,2443261.0
14,1970,3296586.0
14,1980,4371998.0
14,1990,5302689.0
14,1995,5991176.0
14,2000,6322002.0
14,2005,6752113.0
14,2010,7350682.0
14,2015,7880539.0
14,2020,8348151.0
15,1910,989510.0
15,1921,884617.0
15,1930,990112.0
15,1940,1146034.0
15,1950,1392623.0
15,1960,1897851.0
15,1970,3833185.0
15,1980,7564335.0
15,1990,9815795.0
15,1995,11707964.0
15,2000,13096686.0
15,2005,14007495.0
15,2010,15175862.0
15,2015,16225409.0
15,2020,16992418.0
16,1910,991880.0
16,1921,939849.0
16,1930,1048381.0
16,1940,1182003.0
16,1950,1422717.0
16,1960,1851876.0
16,1970,2324226.0
16,1980,2868824.0
16,1990,3548199.0
16,1995,3870604.0
16,2000,3985667.0
16,2005,3966073.0
16,2010,4351037.0
16,2015,4599104.0
16,2020,4748846.0
17,1910,179594.0
17,1921,103440.0
17,1930,132068.0
17,1940,182711.0
17,1950,272842.0
17,1960,386264.0
17,1970,616119.0
17,1980,947089.0
17,1990,1195059.0
17,1995,1442662.0
17,2000,1555296.0
17,2005,1612899.0
17,2010,1777227.0
17,2015,1912211.0
17,2020,1971520.0
18,1910,171173.0
18,1921,163183.0
18,1930,167724.0
18,1940,216698.0
18,1950,290124.0
18,1960,389929.0
18,1970,544031.0
18,1980,726120.0
18,1990,824643.0
18,1995,896702.0
18,2000,920185.0
18,2005,949684.0
18,2010,1084979.0
18,2015,1188671.0
18,2020,1235456.0
19,1910,365150.0
19,1921,336412.0
19,1930,417491.0
19,1940,541147.0
19,1950,740191.0
19,1960,1078848.0
19,1970,1694689.0
19,1980,2513044.0
19,1990,3098736.0
19,1995,3550114.0
19,2000,3834141.0
19,2005,4199292.0
19,2010,4653458.0
19,2015,5131938.0
19,2020,5784442.0
20,1910,1040398.0
20,1921,976005.0
20,1930,1084549.0
20,1940,1192794.0
20,1950,1421313.0
20,1960,1727266.0
20,1970,2015424.0
20,1980,2369076.0
20,1990,3019560.0
20,1995,3228895.0
20,2000,3438765.0
20,2005,3506821.0
20,2010,3801962.0
20,2015,3976297.0
20,2020,4132148.0
21,1910,1101600.0
21,1921,1024955.0
21,1930,1150425.0
21,1940,1294620.0
21,1950,1625830.0
21,1960,1973837.0
21,1970,2508226.0
21,1980,3347685.0
21,1990,4126101.0
21,1995,4624365.0
21,2000,5076686.0
21,2005,5383133.0
21,2010,5779829.0
21,2015,6183320.0
21,2020,6583278.0
22,1910,244663.0
22,1921,220231.0
22,1930,234058.0
22,1940,244737.0
22,1950,286238.0
22,1960,355045.0
22,1970,485523.0
22,1980,739605.0
22,1990,1051235.0
22,1995,1250476.0
22,2000,1404306.0
22,2005,1598139.0
22,2010,1827937.0
22,2015,2043851.0
22,2020,2368467.0
23,1910,9109.0
23,1921,10966.0
23,1930,10620.0
23,1940,18752.0
23,1950,26967.0
23,1960,50169.0
23,1970,88150.0
23,1980,225985.0
23,1990,493277.0
23,1995,703536.0
23,2000,874963.0
23,2005,1135309.0
23,2010,1325578.0
23,2015,1505785.0
23,2020,1857985.0
24,1910,627800.0
24,1921,445681.0
24,1930,579831.0
24,1940,678779.0
24,1950,856066.0
24,1960,1048297.0
24,1970,1281996.0
24,1980,1673893.0
24,1990,2003187.0
24,1995,2200763.0
24,2000,2299360.0
24,2005,2410414.0
24,2010,2585518.0
24,2015,2723772.0
24,2020,2822255.0
25,1910,323642.0
25,1921,341265.0
25,1930,395618.0
25,1940,492821.0
25,1950,635681.0
25,1960,838404.0
25,1970,1266528.0
25,1980,1849879.0
25,1990,2204054.0
25,1995,2425675.0
25,2000,2536844.0
25,2005,2608442.0
25,2010,2767761.0
25,2015,2977104.0
25,2020,3026943.0
26,1910,265383.0
26,1921,275127.0
26,1930,316271.0
26,1940,364176.0
26,1950,510607.0
26,1960,783378.0
26,1970,1098720.0
26,1980,1513731.0
26,1990,1823606.0
26,1995,2085536.0
26,2000,2216969.0
26,2005,2394861.0
26,2010,2662480.0
26,2015,2874391.0
26,2020,2944840.0
27,1910,187574.0
27,1921,210437.0
27,1930,224023.0
27,1940,285630.0
27,1950,362716.0
27,1960,496340.0
27,1970,768327.0
27,1980,1062961.0
27,1990,1501744.0
27,1995,1748769.0
27,2000,1891829.0
27,2005,1989969.0
27,2010,2238603.0
27,2015,2400967.0
27,2020,2402598.0
28,1910,249641.0
28,1921,286904.0
28,1930,344039.0
28,1940,458832.0
28,1950,718167.0
28,1960,1024182.0
28,1970,1456858.0
28,1980,1924484.0
28,1990,2249581.0
28,1995,2527328.0
28,2000,2753222.0
28,2005,3024238.0
28,2010,3268554.0
28,2015,3453525.0
28,2020,3527735.0
29,1910,184171.0
29,1921,178570.0
29,1930,205458.0
29,1940,224063.0
29,1950,284551.0
29,1960,346699.0
29,1970,420638.0
29,1980,556597.0
29,1990,761277.0
29,1995,883924.0
29,2000,962646.0
29,2005,1068207.0
29,2010,1169936.0
29,2015,1274227.0
29,2020,1342977.0
30,1910,1132859.0
30,1921,1159935.0
30,1930,1377293.0
30,1940,1619338.0
30,1950,2040231.0
30,1960,2727899.0
30,1970,3815422.0
30,1980,5387680.0
30,1990,6228239.0
30,1995,6737324.0
30,2000,6908975.0
30,2005,7110214.0
30,2010,7643194.0
30,2015,8127832.0
30,2020,8062579.0
31,1910,339613.0
31,1921,358221.0
31,1930,386096.0
31,1940,418210.0
31,1950,516899.0
31,1960,614049.0
31,1970,758355.0
31,1980,1063733.0
31,1990,1362940.0
31,1995,1556622.0
31,2000,1658210.0
31,2005,1818948.0
31,2010,1955577.0
31,2015,2102259.0
31,2020,2320898.0
32,1910,477556.0
32,1921,379329.0
32,1930,459047.0
32,1940,565437.0
32,1950,665524.0
32,1960,817831.0
32,1970,951462.0
32,1980,1136830.0
32,1990,1276323.0
32,1995,1336496.0
32,2000,1353610.0
32,2005,1367692.0
32,2010,1490668.0
32,2015,1581575.0
32,2020,1622138.0
